,uuid,Company_Names,census_id,count,uuid_comp
249,fe913213-b311-4a42-8c16-47faeac938db,Motorola MPact,147,6,Motorola MPact
250,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,846,6,Glimworm
251,fc9781c4-022b-4e04-9c65-cba35b2ccc49,,131,6,fc9781c4-022b-4e04-9c65-cba35b2ccc49
252,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,131,6,SXSW
253,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,,773,6,6ab357ac-96dd-4d5e-a606-b9dd64c570c7
254,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,,147,6,6ab357ac-96dd-4d5e-a606-b9dd64c570c7
255,8a21c76b-74e3-4341-92be-33fcfdefdd63,,25,6,8a21c76b-74e3-4341-92be-33fcfdefdd63
256,56db0365-a001-4062-9e4d-499d3b8eccf3,,133,6,56db0365-a001-4062-9e4d-499d3b8eccf3
257,e5fae995-38cb-4d78-ac3f-bd349871d6d4,,61,6,e5fae995-38cb-4d78-ac3f-bd349871d6d4
258,8a21c76b-74e3-4341-92be-33fcfdefdd63,,846,6,8a21c76b-74e3-4341-92be-33fcfdefdd63
259,8a21c76b-74e3-4341-92be-33fcfdefdd63,,855,6,8a21c76b-74e3-4341-92be-33fcfdefdd63
260,e2c56db5-dffb-48d2-b060-d0f5a71096e0,Apple AirLocate,871,6,Apple AirLocate
261,b2e5fc49-d460-42b9-893c-27dbaff9430b,,101,6,b2e5fc49-d460-42b9-893c-27dbaff9430b
262,b2e5fc49-d460-42b9-893c-27dbaff9430a,,61,6,b2e5fc49-d460-42b9-893c-27dbaff9430a
263,991f6f79-546b-d8fa-9850-2c2388c6d2ce,,23,6,991f6f79-546b-d8fa-9850-2c2388c6d2ce
